Molecule;Target;ATC;Action;pCHEMBL
fluphenazine;nicotinic alpha1beta2;N05AB02;NA;5.000000
haloperidol;nicotinic alpha1beta2;N05AD01;NA;5.000000
loxapine;nicotinic alpha1beta2;N05AH01;NA;5.000000
methysergide;nicotinic alpha1beta2;N02CA04;NA;5.000000
olanzapine;nicotinic alpha1beta2;N05AH03;NA;5.000000
risperidone;nicotinic alpha1beta2;N05AX08;NA;5.000000
thioridazine;nicotinic alpha1beta2;N05AC02;NA;5.000000
tiotixene;nicotinic alpha1beta2;N05AF04;NA;5.000000
ziprasidone;nicotinic alpha1beta2;N05AE04;NA;5.000000
zotepine;nicotinic alpha1beta2;N05AX11;NA;5.000000
aripiprazole;nicotinic alpha2beta2;N05AX12;NA;5.000000
nicotine;nicotinic alpha2beta2;N07BA01;NA;8.397940
chlorpromazine;nicotinic alpha2beta3;N05AA01;NA;5.000000
clozapine;nicotinic alpha2beta3;N05AH02;NA;5.000000
cocaine;nicotinic alpha2beta3;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
ephedrine;nicotinic alpha2beta3;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;nicotinic alpha2beta3;N02CA02;NA;5.000000
fenfluramine;nicotinic alpha2beta3;A08AA02;NA;5.000000
fluphenazine;nicotinic alpha2beta3;N05AB02;NA;5.000000
haloperidol;nicotinic alpha2beta3;N05AD01;NA;5.000000
loxapine;nicotinic alpha2beta3;N05AH01;NA;5.000000
memantine;nicotinic alpha2beta3;N06DX01;NA;5.000000
methionine;nicotinic alpha2beta3;V03AB26;NA;5.000000
methylphenidate;nicotinic alpha2beta3;N06BA04;NA;5.000000
methysergide;nicotinic alpha2beta3;N02CA04;NA;5.000000
mitragynine;nicotinic alpha2beta3;N02AX-a;NA;5.000000
nicotine;nicotinic alpha2beta3;N07BA01;NA;8.508638
olanzapine;nicotinic alpha2beta3;N05AH03;NA;5.000000
pseudoephedrine;nicotinic alpha2beta3;R01BA02;NA;5.000000
quetiapine;nicotinic alpha2beta3;N05AH04;NA;5.000000
risperidone;nicotinic alpha2beta3;N05AX08;NA;5.000000
thioridazine;nicotinic alpha2beta3;N05AC02;NA;5.000000
tiotixene;nicotinic alpha2beta3;N05AF04;NA;5.000000
trazodone;nicotinic alpha2beta3;N06AX05;NA;5.000000
ziprasidone;nicotinic alpha2beta3;N05AE04;NA;5.000000
zotepine;nicotinic alpha2beta3;N05AX11;NA;5.000000
aripiprazole;nicotinic alpha2beta4;N05AX12;NA;5.000000
chlorpromazine;nicotinic alpha2beta4;N05AA01;NA;5.000000
clozapine;nicotinic alpha2beta4;N05AH02;NA;5.000000
cocaine;nicotinic alpha2beta4;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
ephedrine;nicotinic alpha2beta4;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;nicotinic alpha2beta4;N02CA02;NA;5.000000
fenfluramine;nicotinic alpha2beta4;A08AA02;NA;5.000000
fluphenazine;nicotinic alpha2beta4;N05AB02;NA;5.000000
haloperidol;nicotinic alpha2beta4;N05AD01;NA;5.000000
loxapine;nicotinic alpha2beta4;N05AH01;NA;5.000000
mecamylamine;nicotinic alpha2beta4;C02BB01;NA;5.514279
memantine;nicotinic alpha2beta4;N06DX01;NA;5.000000
methionine;nicotinic alpha2beta4;V03AB26;NA;5.000000
methylphenidate;nicotinic alpha2beta4;N06BA04;NA;5.000000
methysergide;nicotinic alpha2beta4;N02CA04;NA;5.000000
mitragynine;nicotinic alpha2beta4;N02AX-a;NA;5.000000
nicotine;nicotinic alpha2beta4;N07BA01;NA;6.392506
olanzapine;nicotinic alpha2beta4;N05AH03;NA;5.000000
pseudoephedrine;nicotinic alpha2beta4;R01BA02;NA;5.000000
quetiapine;nicotinic alpha2beta4;N05AH04;NA;5.000000
risperidone;nicotinic alpha2beta4;N05AX08;NA;5.000000
thioridazine;nicotinic alpha2beta4;N05AC02;NA;5.000000
tiotixene;nicotinic alpha2beta4;N05AF04;NA;5.000000
trazodone;nicotinic alpha2beta4;N06AX05;NA;5.000000
ziprasidone;nicotinic alpha2beta4;N05AE04;NA;5.000000
zotepine;nicotinic alpha2beta4;N05AX11;NA;5.000000
atracurium;nicotinic alpha3;M03AC04;antagonist;8.476851
aripiprazole;nicotinic alpha3beta2;N05AX12;NA;5.000000
chlorpromazine;nicotinic alpha3beta2;N05AA01;NA;5.000000
clozapine;nicotinic alpha3beta2;N05AH02;NA;5.000000
cocaine;nicotinic alpha3beta2;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
ephedrine;nicotinic alpha3beta2;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;nicotinic alpha3beta2;N02CA02;NA;5.000000
fenfluramine;nicotinic alpha3beta2;A08AA02;NA;5.000000
fluphenazine;nicotinic alpha3beta2;N05AB02;NA;5.000000
haloperidol;nicotinic alpha3beta2;N05AD01;NA;5.000000
loxapine;nicotinic alpha3beta2;N05AH01;NA;5.000000
memantine;nicotinic alpha3beta2;N06DX01;NA;5.000000
methionine;nicotinic alpha3beta2;V03AB26;NA;5.000000
methylphenidate;nicotinic alpha3beta2;N06BA04;NA;5.000000
methysergide;nicotinic alpha3beta2;N02CA04;NA;5.000000
mitragynine;nicotinic alpha3beta2;N02AX-a;NA;5.000000
nicotine;nicotinic alpha3beta2;N07BA01;NA;8.081043
olanzapine;nicotinic alpha3beta2;N05AH03;NA;5.000000
pseudoephedrine;nicotinic alpha3beta2;R01BA02;NA;5.000000
quetiapine;nicotinic alpha3beta2;N05AH04;NA;5.000000
risperidone;nicotinic alpha3beta2;N05AX08;NA;5.000000
thioridazine;nicotinic alpha3beta2;N05AC02;NA;5.000000
tiotixene;nicotinic alpha3beta2;N05AF04;NA;5.000000
trazodone;nicotinic alpha3beta2;N06AX05;NA;5.000000
ziprasidone;nicotinic alpha3beta2;N05AE04;NA;5.000000
zotepine;nicotinic alpha3beta2;N05AX11;NA;5.000000
cocaine;nicotinic alpha3beta4;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
ephedrine;nicotinic alpha3beta4;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;nicotinic alpha3beta4;N02CA02;NA;5.000000
fenfluramine;nicotinic alpha3beta4;A08AA02;NA;5.000000
haloperidol;nicotinic alpha3beta4;N05AD01;NA;5.000000
memantine;nicotinic alpha3beta4;N06DX01;NA;5.000000
methysergide;nicotinic alpha3beta4;N02CA04;NA;5.000000
mitragynine;nicotinic alpha3beta4;N02AX-a;NA;5.000000
nicotine;nicotinic alpha3beta4;N07BA01;NA;6.627201
pseudoephedrine;nicotinic alpha3beta4;R01BA02;NA;5.000000
trazodone;nicotinic alpha3beta4;N06AX05;NA;5.000000
mecamylamine;nicotinic alpha3beta4x;C02BB01;NA;5.853872
methionine;nicotinic alpha3beta4x;V03AB26;NA;5.000000
methylphenidate;nicotinic alpha3beta4x;N06BA04;NA;5.000000
nicotine;nicotinic alpha3beta4x;N07BA01;NA;5.000000
acetylcysteine;nicotinic alpha4;R05CB01. S01XA08. V03AB23;agonist;9.517199
atracurium;nicotinic alpha4;M03AC04;antagonist;7.887205
varenicline;nicotinic alpha4;N07BA03;agonist;9.960000
choline;nicotinic alpha4beta2;A11HA-a;NA;5.154902
mecamylamine;nicotinic alpha4beta2;C02BB01;NA;5.000000
memantine;nicotinic alpha4beta2;N06DX01;NA;5.000000
methionine;nicotinic alpha4beta2;V03AB26;NA;5.000000
methylphenidate;nicotinic alpha4beta2;N06BA04;NA;5.000000
mitragynine;nicotinic alpha4beta2;N02AX-a;NA;5.000000
nicotine;nicotinic alpha4beta2;N07BA01;NA;8.598472
pancuronium;nicotinic alpha4beta2;M03AC01;NA;5.000000
suxamethonium;nicotinic alpha4beta2;M03AB01;NA;5.537602
trazodone;nicotinic alpha4beta2;N06AX05;NA;5.000000
vecuronium;nicotinic alpha4beta2;M03AC03;NA;5.000000
cocaine;nicotinic alpha4beta4;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
ephedrine;nicotinic alpha4beta4;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
mecamylamine;nicotinic alpha4beta4;C02BB01;NA;6.251812
memantine;nicotinic alpha4beta4;N06DX01;NA;5.000000
methionine;nicotinic alpha4beta4;V03AB26;NA;5.000000
methylphenidate;nicotinic alpha4beta4;N06BA04;NA;5.000000
mitragynine;nicotinic alpha4beta4;N02AX-a;NA;5.000000
nicotine;nicotinic alpha4beta4;N07BA01;NA;6.715171
pseudoephedrine;nicotinic alpha4beta4;R01BA02;NA;5.000000
trazodone;nicotinic alpha4beta4;N06AX05;NA;5.000000
aripiprazole;nicotinic alpha7;N05AX12;NA;5.000000
atracurium;nicotinic alpha7;M03AC04;antagonist;8.067992
chlorpromazine;nicotinic alpha7;N05AA01;NA;5.000000
clozapine;nicotinic alpha7;N05AH02;NA;5.000000
cocaine;nicotinic alpha7;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
ephedrine;nicotinic alpha7;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;nicotinic alpha7;N02CA02;NA;5.000000
fenfluramine;nicotinic alpha7;A08AA02;NA;5.000000
fluphenazine;nicotinic alpha7;N05AB02;NA;5.000000
haloperidol;nicotinic alpha7;N05AD01;NA;5.000000
ivermectin;nicotinic alpha7;D11AX22. P02CF01;agonist;5.100000
loxapine;nicotinic alpha7;N05AH01;NA;5.000000
methysergide;nicotinic alpha7;N02CA04;NA;5.000000
nicotine;nicotinic alpha7;N07BA01;NA;5.971740
olanzapine;nicotinic alpha7;N05AH03;NA;5.000000
pseudoephedrine;nicotinic alpha7;R01BA02;NA;5.000000
quetiapine;nicotinic alpha7;N05AH04;NA;5.000000
risperidone;nicotinic alpha7;N05AX08;NA;5.000000
thioridazine;nicotinic alpha7;N05AC02;NA;5.000000
tiotixene;nicotinic alpha7;N05AF04;NA;5.000000
ziprasidone;nicotinic alpha7;N05AE04;NA;5.000000
zotepine;nicotinic alpha7;N05AX11;NA;5.000000
4-methylethcathinone;norepinephrine transporter;N06BA-k;NA;5.777804
amisulpride;norepinephrine transporter;N05AL05;NA;5.000000
amitriptyline;norepinephrine transporter;N06AA09;antagonist;7.028589
amoxapine;norepinephrine transporter;N06AA17;antagonist;7.842799
amphetamine;norepinephrine transporter;N06BA01;agonist;7.550231
aripiprazole;norepinephrine transporter;N05AX12;NA;5.679542
atomoxetine;norepinephrine transporter;N06BA09;antagonist;8.408183
bupropion;norepinephrine transporter;N06AX12;antagonist;5.404754
celecoxib;norepinephrine transporter;L01XX33. M01AH01;NA;5.000000
chlorpromazine;norepinephrine transporter;N05AA01;NA;5.612077
citalopram;norepinephrine transporter;N06AB04;antagonist;3.947661
clomipramine;norepinephrine transporter;N06AA04;antagonist;7.382273
clonidine;norepinephrine transporter;C02AC01. N02CX02. S01EA04;NA;6.000000
clozapine;norepinephrine transporter;N05AH02;NA;5.499215
cocaine;norepinephrine transporter;N01BC01. R02AD03. S01HA01. S02DA02;antagonist;5.762894
desipramine;norepinephrine transporter;N06AA01;antagonist;8.589610
desvenlafaxine;norepinephrine transporter;N06AX23;antagonist;5.994745
dexamfetamine;norepinephrine transporter;N06BA02;releasing agent;7.054014
dexmedetomidine;norepinephrine transporter;N05CM18;NA;6.000000
dopamine;norepinephrine transporter;C01CA04;antagonist;6.490797
dosulepin;norepinephrine transporter;N06AA16;antagonist;7.338621
doxepin;norepinephrine transporter;N06AA12. D04AX01;antagonist;7.535087
duloxetine;norepinephrine transporter;N06AX21;antagonist;7.918869
ephedrine;norepinephrine transporter;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;antagonist;6.260123
epinephrine;norepinephrine transporter;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;NA;5.434152
ergotamine;norepinephrine transporter;N02CA02;antagonist;5.000000
escitalopram;norepinephrine transporter;N06AB10;antagonist;5.145733
etoricoxib;norepinephrine transporter;M01AH05;NA;5.000000
fenfluramine;norepinephrine transporter;A08AA02;NA;5.000000
fluoxetine;norepinephrine transporter;N06AB03;NA;6.099681
fluphenazine;norepinephrine transporter;N05AB02;NA;5.512014
fluvoxamine;norepinephrine transporter;N06AB08;NA;5.702239
haloperidol;norepinephrine transporter;N05AD01;NA;5.675306
hyperici herba;norepinephrine transporter;N06AX25;NA;5.000000
ibuprofen;norepinephrine transporter;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;norepinephrine transporter;N05AX14;NA;5.830032
imipramine;norepinephrine transporter;N06AA02;antagonist;7.370202
iproniazide;norepinephrine transporter;N06AF05;NA;5.000000
ketamine;norepinephrine transporter;N01AX03;antagonist;5.000000
ketorolac;norepinephrine transporter;M01AB15. S01BC05;NA;5.000000
lofepramine;norepinephrine transporter;N06AA07;antagonist;8.268803
loxapine;norepinephrine transporter;N05AH01;NA;5.244278
maprotiline;norepinephrine transporter;N06AA21;antagonist;7.835145
mazindol;norepinephrine transporter;A08AA05;antagonist;8.960032
meloxicam;norepinephrine transporter;M01AC06;NA;5.000000
memantine;norepinephrine transporter;N06DX01;NA;5.000000
mephedrone;norepinephrine transporter;N06BA-h;NA;6.291579
metamfetamine;norepinephrine transporter;N06BA-l;antagonist;6.897937
methionine;norepinephrine transporter;V03AB26;NA;5.000000
methylphenidate;norepinephrine transporter;N06BA04;antagonist;6.605533
methysergide;norepinephrine transporter;N02CA04;NA;5.000000
mianserin;norepinephrine transporter;N06AX03;antagonist;7.148742
milnacipran;norepinephrine transporter;N06AX17;antagonist;7.415909
mirtazapine;norepinephrine transporter;N06AX11;NA;5.286922
mitragynine;norepinephrine transporter;N02AX-a;NA;5.000000
naproxen;norepinephrine transporter;M01AE02. M02AA12. G02CC02;NA;5.000000
nefazodone;norepinephrine transporter;N06AX06;antagonist;6.352022
nefopam;norepinephrine transporter;N02BG06;NA;7.481486
nimesulide;norepinephrine transporter;M01AX17. M02AA26;NA;5.000000
nortriptyline;norepinephrine transporter;N06AA10;antagonist;8.346196
olanzapine;norepinephrine transporter;N05AH03;NA;5.000000
ondansetron;norepinephrine transporter;A04AA01;NA;5.000000
orphenadrine;norepinephrine transporter;M03BC51;antagonist;5.574998
parecoxib;norepinephrine transporter;M01AH04;NA;5.000000
paroxetine;norepinephrine transporter;N06AB05;antagonist;7.012817
phenelzine;norepinephrine transporter;N06AF03;antagonist;5.000000
piribedil;norepinephrine transporter;N04BC08;NA;5.000000
piroxicam;norepinephrine transporter;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;norepinephrine transporter;N04BC05;NA;5.000000
protriptyline;norepinephrine transporter;N06AA11;antagonist;8.678649
pseudoephedrine;norepinephrine transporter;R01BA02;antagonist;5.530420
psylocibine;norepinephrine transporter;N06BA-d;NA;5.000000
quetiapine;norepinephrine transporter;N05AH04;antagonist;5.490902
reboxetine;norepinephrine transporter;N06AX18;antagonist;8.187237
risperidone;norepinephrine transporter;N05AX08;NA;5.000000
rofecoxib;norepinephrine transporter;M01AH02;NA;5.000000
sertraline;norepinephrine transporter;N06AB06;NA;6.089930
sibutramine;norepinephrine transporter;A08AA10;antagonist;5.250000
tapentadol;norepinephrine transporter;N02AX06;antagonist;5.060000
thioridazine;norepinephrine transporter;N05AC02;NA;6.074688
tianeptine;norepinephrine transporter;N06AX14;NA;5.000000
tiotixene;norepinephrine transporter;N05AF04;NA;5.000000
tranylcypromine;norepinephrine transporter;N06AF04;NA;5.229148
trazodone;norepinephrine transporter;N06AX05;NA;5.035167
trimipramine;norepinephrine transporter;N06AA06;antagonist;5.610417
venlafaxine;norepinephrine transporter;N06AX16;antagonist;5.851401
yohimbine;norepinephrine transporter;G04BE04;NA;6.000000
ziprasidone;norepinephrine transporter;N05AE04;NA;7.356547
zotepine;norepinephrine transporter;N05AX11;antagonist;6.698614
desmopressin;oxytocin receptor;H01BA02;agonist;7.135825
methionine;oxytocin receptor;V03AB26;NA;5.000000
mitragynine;oxytocin receptor;N02AX-a;NA;5.000000
ondansetron;oxytocin receptor;A04AA01;NA;5.000000
oxytocin;oxytocin receptor;H01BB02;agonist;8.985291
suvorexant;oxytocin receptor;N05CM19;antagonist;8.994999
budesonide;progesterone receptor;A07EA06. D07AC09. R01AD05. R03BA02;agonist;7.347278
drospirenone;progesterone receptor;G03AC10;agonist;7.360000
dydrogesterone;progesterone receptor;G03DB01;agonist;6.900000
fluticasone;progesterone receptor;R03BA05. D07AC17. R01AD08;agonist;7.680000
medroxyprogesterone;progesterone receptor;G03AC06. G03DA02. L02AB02;agonist;9.185390
mifepristone;progesterone receptor;G03XB01;antagonist;8.863820
norethisterone;progesterone receptor;G03AC01;agonist;8.813368
progesterone;progesterone receptor;G03DA04;agonist;8.609722
ulipristal;progesterone receptor;G03AD02. G03XB02;partial agonist;8.240146
acetylsalicylic acid;Serotonin 5-ht1a receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
amisulpride;Serotonin 5-ht1a receptor;N05AL05;NA;5.000000
amitriptyline;Serotonin 5-ht1a receptor;N06AA09;partial agonist;6.346787
amphetamine;Serotonin 5-ht1a receptor;N06BA01;NA;5.180061
apomorphine;Serotonin 5-ht1a receptor;G04BE07. N04BC07;agonist;6.468820
aripiprazole;Serotonin 5-ht1a receptor;N05AX12;partial agonist;8.054568
asenapine;Serotonin 5-ht1a receptor;N05AH05;antagonist;8.148620
atomoxetine;Serotonin 5-ht1a receptor;N06BA09;NA;5.477226
brexpiprazole;Serotonin 5-ht1a receptor;N05AX16;partial agonist;9.920819
bromocriptine;Serotonin 5-ht1a receptor;N04BC01. G02CB01;agonist;7.871933
bromperidol;Serotonin 5-ht1a receptor;N05AD06;NA;5.600000
bupropion;Serotonin 5-ht1a receptor;N06AX12;NA;5.000000
buspirone;Serotonin 5-ht1a receptor;N05BE01;partial agonist;7.666395
cabergoline;Serotonin 5-ht1a receptor;N04BC06. G02CB03;agonist;7.700000
carbamazepine;Serotonin 5-ht1a receptor;N03AF01;NA;5.000000
cariprazine;Serotonin 5-ht1a receptor;N05AX15;partial agonist;8.522879
celecoxib;Serotonin 5-ht1a receptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;Serotonin 5-ht1a receptor;N05AA01;antagonist;6.048647
chlorprothixene;Serotonin 5-ht1a receptor;N05AF03;NA;6.860000
citalopram;Serotonin 5-ht1a receptor;N06AB04;NA;5.000000
clomipramine;Serotonin 5-ht1a receptor;N06AA04;NA;5.000000
clozapine;Serotonin 5-ht1a receptor;N05AH02;partial agonist;6.849000
cocaine;Serotonin 5-ht1a receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
cyamemazine;Serotonin 5-ht1a receptor;N05AA06;antagonist;6.293251
cyproheptadine;Serotonin 5-ht1a receptor;R06AX02;NA;7.177062
desipramine;Serotonin 5-ht1a receptor;N06AA01;NA;5.095989
diclofenac;Serotonin 5-ht1a receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
diltiazem;Serotonin 5-ht1a receptor;C05AE03. C08DB01;NA;5.000000
dopamine;Serotonin 5-ht1a receptor;C01CA04;NA;5.083651
doxepin;Serotonin 5-ht1a receptor;N06AA12. D04AX01;antagonist;6.559091
duloxetine;Serotonin 5-ht1a receptor;N06AX21;NA;5.301030
eletriptan;Serotonin 5-ht1a receptor;N02CC06;agonist;7.400000
ephedrine;Serotonin 5-ht1a receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;Serotonin 5-ht1a receptor;N02CA02;agonist;9.769551
escitalopram;Serotonin 5-ht1a receptor;N06AB10;NA;5.000000
etoricoxib;Serotonin 5-ht1a receptor;M01AH05;NA;5.000000
fenfluramine;Serotonin 5-ht1a receptor;A08AA02;NA;6.110077
flibanserin;Serotonin 5-ht1a receptor;G02CX02;agonist;9.000000
fluoxetine;Serotonin 5-ht1a receptor;N06AB03;NA;5.000000
flupentixol;Serotonin 5-ht1a receptor;N05AF01;NA;5.095393
fluphenazine;Serotonin 5-ht1a receptor;N05AB02;NA;6.236053
fluspirilene;Serotonin 5-ht1a receptor;N05AG01;antagonist;7.225860
frovatriptan;Serotonin 5-ht1a receptor;N02CC07;agonist;7.220000
haloperidol;Serotonin 5-ht1a receptor;N05AD01;antagonist;5.685321
hyperici herba;Serotonin 5-ht1a receptor;N06AX25;NA;5.000000
ibuprofen;Serotonin 5-ht1a receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;Serotonin 5-ht1a receptor;N05AX14;antagonist;7.088318
imipramine;Serotonin 5-ht1a receptor;N06AA02;agonist;5.116919
ketamine;Serotonin 5-ht1a receptor;N01AX03;antagonist;5.000000
ketorolac;Serotonin 5-ht1a receptor;M01AB15. S01BC05;NA;5.000000
lofepramine;Serotonin 5-ht1a receptor;N06AA07;NA;5.337242
loxapine;Serotonin 5-ht1a receptor;N05AH01;NA;5.572380
lurasidone;Serotonin 5-ht1a receptor;N05AE05;antagonist;8.170696
lysergic acid diethylamide;Serotonin 5-ht1a receptor;N06BA-i;NA;8.849462
meloxicam;Serotonin 5-ht1a receptor;M01AC06;NA;5.000000
melperone;Serotonin 5-ht1a receptor;N05AD03;NA;5.653787
memantine;Serotonin 5-ht1a receptor;N06DX01;NA;5.000000
mepyramine;Serotonin 5-ht1a receptor;D04AA02. R06AC01;NA;5.000000
mesoridazine;Serotonin 5-ht1a receptor;N05AC03;antagonist;6.631289
metamfetamine;Serotonin 5-ht1a receptor;N06BA-l;NA;5.000000
methionine;Serotonin 5-ht1a receptor;V03AB26;NA;5.000000
methylphenidate;Serotonin 5-ht1a receptor;N06BA04;NA;5.000000
methysergide;Serotonin 5-ht1a receptor;N02CA04;agonist;7.741288
metoclopramide;Serotonin 5-ht1a receptor;A03FA01;NA;5.000000
mianserin;Serotonin 5-ht1a receptor;N06AX03;antagonist;6.135402
mirtazapine;Serotonin 5-ht1a receptor;N06AX11;NA;6.512920
mitragynine;Serotonin 5-ht1a receptor;N02AX-a;NA;6.073942
molindone;Serotonin 5-ht1a receptor;N05AE02;antagonist;5.509549
naproxen;Serotonin 5-ht1a receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
naratriptan;Serotonin 5-ht1a receptor;N02CC02;agonist;7.345747
nebivolol;Serotonin 5-ht1a receptor;C07AB12;NA;7.588380
nefazodone;Serotonin 5-ht1a receptor;N06AX06;antagonist;7.096910
nimesulide;Serotonin 5-ht1a receptor;M01AX17. M02AA26;NA;5.000000
norepinephrine;Serotonin 5-ht1a receptor;C01CA03;NA;5.000000
olanzapine;Serotonin 5-ht1a receptor;N05AH03;antagonist;5.708681
ondansetron;Serotonin 5-ht1a receptor;A04AA01;NA;5.000000
